id,consignment_no,first_name,last_name,email_id,phone_no,address,city_name,zipcode,product,consignment_type,consignment_subtype,mode,no_of_packages,volume_weight,weight_units,weight_divisor,total_weight,chargeable_weight,total_chargeable_weight,currency,invoice_reference_no,consignment_value,payment_mode,remarks,length,breadth,height,dimension_units,weight_per_package,required_temperature
1,27911464413,Hunar Saini,Ira Vig,dsrinivas@example.org,3967631892,"23/26, Kar Road
Serampore 804458",KANJIRAPALLY,686507,Quick1,GCR,General,ATD,2,4,kg,2700,72,72,72,INR,OHIY6VX424BL8KZJ,34103,Cash,Blanditiis accusantium omnis iusto necessitatibus rerum facere. Commodi consequatur corporis ut harum veniam voluptatem.,13,38,11,cms,36,0
2,11631164942,Indranil Chander,Umang Bawa,mehul25@example.net,7448645789,"04
Acharya Path, Udaipur 273025",CHENNAI,600057,KV,GCR,General,DTA,12,12,kg,3600,48,48,48,INR,X2U2JD8L26K4HJ8M,20257,Credit/debit card,Omnis nam quidem doloribus beatae temporibus illum. Quibusdam minus quibusdam suscipit est suscipit. Minima dolor voluptatem eaque dicta.,48,71,1,cms,4,15-25°C
3,16756465798,Suhana Varghese,Tanya Deshpande,yraval@example.com,5247513947,"H.No. 26, Wason Nagar, Gurgaon 376624",GUDIYATHAM,635803,Prudent,GCR,General,ATD,26,303,kg,6000,702,702,702,INR,8F0LR4A42J0A42W2,89561,Cash,Maxime sequi esse excepturi. Architecto repellat dolorem esse dolor ipsa officia accusamus. Exercitationem ab facere.,13,64,84,cms,27,0
4,26912797658,Samarth Ratti,Divyansh Ganesh,rheabumb@example.com,1143772315,"41, Barman Chowk
Amravati-754075",CHENNAI,600080,GEM,GCR,General,DTD,19,18,kg,4500,931,931,931,INR,V8FK6XH6KE8S22YJ,11876,Credit,"Placeat delectus totam praesentium quas id. Quam voluptate blanditiis. Aut incidunt velit.
Fugiat suscipit voluptates quibusdam.",9,34,14,cms,49,0
5,13994217726,Dhanush Koshy,Anay Das,sakshamdugal@example.net,1746634271,"H.No. 19, Zacharia Nagar, Firozabad-659399",SALEM,636013,KV,GCR,General,ATD,14,1078,kg,4500,28,1078,1078,INR,IN4I2428XSR6ZP02,46085,Credit/debit card,"Praesentium dolorum distinctio quidem quasi maxime distinctio fugit. Voluptas vitae amet quos.
Inventore maxime amet repellendus earum. Esse rem iusto tenetur dolores tempora iusto.",74,65,72,cms,2,2-8°C
6,38193692742,Anaya Sama,Tara Loke,sundaramrenee@example.com,4989333698,"28/124
Sekhon Ganj, Solapur 363779",VIZAG,530016,Quick1,GCR,General,DTA,4,202,kg,6000,76,202,202,INR,B8A2248Q06260WSW,19525,Credit/debit card,"Soluta nostrum rem exercitationem illum eos. Iste recusandae corrupti perferendis. Reprehenderit enim dignissimos.
Magni deleniti atque ullam. Adipisci deserunt similique eaque ullam magni.",74,61,67,cms,19,0
7,36549561451,Khushi Ahuja,Zaina Sane,navyasarma@example.net,5485921848,"86/432, Kala Circle
Bahraich-589275",PANAJI,403206,ACE1,GCR,General,ATD,3,51,kg,3600,120,120,120,INR,K0P2TJQ6W6222R4K,23753,Credit/debit card,Non tempore magnam iure. Placeat illo consequuntur perspiciatis odit architecto libero.,17,60,59,cms,40,0
8,11576658527,Shlok Chana,Saira Ramachandran,gsarin@example.com,2976491511,"47, Mangat Zila, Bidhannagar 460883",BURDWAN,713102,GEM,GCR,General,DTD,16,9,kg,4500,224,224,224,INR,2P22TC6HC24482O6,9953,Cash,Ipsa quisquam velit blanditiis nihil. Voluptate a nam distinctio dignissimos esse labore. Ut reprehenderit eveniet laboriosam eum quod.,7,67,5,cms,14,0
9,21124215499,Baiju Chada,Rania Bhat,krishmannat@example.com,3782455945,"H.No. 662
Walla Ganj, Mathura 270938",KORUTLA,505325,Quick1,GCR,General,ATD,26,106,kg,5000,1118,1118,1118,INR,I48D08X4Z248604U,2315,Credit/debit card,Debitis dignissimos nam possimus. Itaque repellat officiis corrupti placeat iste architecto.,32,8,79,cms,43,0
10,36818623888,Navya Kohli,Ojas Wagle,parinaaz44@example.net,7315517458,"43/652
Sibal Chowk
Delhi 825100",SILCHAR,788006,KV,GCR,General,ATD,5,62,kg,2700,10,62,62,INR,J26C8M400Y4Q2P6O,83872,Cash,Quidem asperiores culpa nihil rerum nobis modi. Magni laborum provident natus cum. Tempora ducimus excepturi magnam earum cum suscipit doloremque.,36,17,54,cms,2,15-25°C
11,39312953811,Yakshit Sodhi,Shayak Maharaj,gchar@example.org,2546234412,"58/398
Balakrishnan Street
Parbhani-000329",RANIPET,632406,Prudent,GCR,General,DTA,21,54,kg,6000,315,315,315,INR,868N6PY22VN0O82P,13392,Cash,"Molestiae odit beatae.
Maiores minus quae repellendus placeat aliquam illo. Aperiam facere ad dolorem minus. Recusandae ducimus at itaque.",28,13,42,cms,15,0
12,35976337342,Zain Date,Jayan Tak,lakshaychahal@example.org,6459169959,"27/040, Sandhu
Jehanabad-038513",CUTTACK,695133,Prudent,GCR,General,ATA,1,114,kg,3600,37,114,114,INR,QNSBX6G64NS04R40,69275,Cash,Ipsum modi architecto voluptate impedit maxime. Voluptatum repudiandae a inventore quas suscipit corrupti.,88,83,56,cms,37,0
13,29691275339,Devansh Srinivas,Arnav Mand,anay48@example.org,5327367849,"58/73, Choudhury Circle, Bhatpara-850648",KOLHAPUR,416119,ACE1,GCR,General,DTA,14,259,kg,3600,126,259,259,INR,YG04MC80R6ASRY8X,78401,Cash,Occaecati porro corrupti totam. Ipsam omnis vitae aut reiciendis laborum iusto ratione.,80,26,32,cms,9,0
14,28529724592,Nitara Gole,Armaan Bhatia,ryankhare@example.org,4381475418,"H.No. 33
Kala Ganj, Tirunelveli-418361",VIZIANAGARAM,535003,KV,GCR,General,ATA,9,347,kg,5000,216,347,347,INR,6ON0HAYA0WDR020K,29889,Credit,Repellat recusandae quo non deleniti voluptates. Porro labore vel iusto molestiae fuga officia animi.,85,81,28,cms,24,2-8°C
15,18254396467,Oorja Barad,Armaan Dyal,anya14@example.org,2184942478,"87, Soman Road, Vellore 232616",HYDERABAD,500080,KP,GCR,General,DTA,4,25,kg,2700,140,140,140,INR,222VGF86PS466N86,25407,Credit,Incidunt at maxime aut totam porro. Mollitia perferendis quia maxime. Eum quod placeat a eum quae.,36,42,11,cms,35,2-8°C
16,21349392696,Riaan Sethi,Jivika Dugal,comarvedika@example.com,8279654789,"298, Tailor Circle, Junagadh 988111",SURAT,395003,ACE1,GCR,General,ATA,7,339,kg,4500,343,343,343,INR,JLTVGT64DNEH6A44,52656,Credit,Exercitationem autem ad dolorem aliquam ipsum beatae. Quae sunt quasi iure impedit nulla.,44,65,76,cms,49,0
17,27181297212,Ranbir Sandal,Alisha Rajagopal,fshroff@example.org,1737138545,"H.No. 89, Kalla Path, Solapur 577377",KOLHAPUR,416007,ACE1,GCR,General,ATD,19,242,kg,5000,570,570,570,INR,0628PS0D6MYUYFGT,16919,Cash,Provident fugiat modi quas. Nulla officia modi enim. Architecto magnam expedita dignissimos porro a.,73,30,29,cms,30,0
18,34854552492,Dhanush Soni,Vanya Choudhary,qbains@example.org,7232572757,"76/18, Chaudhary Chowk, Nadiad-984692",MUMBAI,400603,GEM,GCR,General,ATA,25,432,kg,6000,975,975,975,INR,0P4YME804H02GK48,26429,Credit/debit card,Sed dignissimos totam. Veritatis non nam explicabo iure sint enim. Laboriosam suscipit voluptatem sequi facere.,65,27,59,cms,39,0
19,23317671868,Aaryahi Bawa,Hiran Andra,kismat34@example.net,9727869912,"H.No. 19
Singhal Zila
Pimpri-Chinchwad 999331",COIMBATORE,641026,Quick1,GCR,General,DTA,17,2,kg,2700,748,748,748,INR,0Z06D68Q8FT60OKZ,2044,Credit/debit card,"Impedit reiciendis ratione.
Minus consequuntur mollitia. Commodi autem nemo architecto consequuntur corrupti omnis voluptates. Vero aperiam nobis in cumque corrupti necessitatibus officiis.",59,2,2,cms,44,0
20,12223946823,Zoya Verma,Bhavin Bhatia,manikyacherian@example.com,3426192182,"47
Sarna Ganj, Bhalswa Jahangir Pur-264231",LUDHIANA,141416,KV,GCR,General,ATA,12,1157,kg,4500,12,1157,1157,INR,HI6CPQ2IA400BM28,85999,Cash,Beatae praesentium repellendus ratione. Veniam delectus corrupti voluptatum harum laborum.,85,63,81,cms,1,15-25°C
21,28615693399,Misha Garde,Eshani Wason,rohan74@example.org,5533831479,"H.No. 94, Venkatesh Chowk
Vadodara-060508",AHMEDABAD,380027,KP,GCR,General,ATD,19,508,kg,2700,133,508,508,INR,JUT68RJJD66WH86O,65420,Cash,Unde earum ut fugit quia similique. Est ab dicta provident. Ratione pariatur harum rem quos.,52,19,73,cms,7,-20°C
22,17961775148,Divij Bora,Onkar Sankaran,aaina58@example.net,4731312156,"18/566
Yohannan Chowk, Thrissur-029876",SHIMLA,171004,ACE1,GCR,General,ATD,13,135,kg,2700,130,135,135,INR,2QC8CO4N4L40C2C4,70408,Credit,"Cum nam illum blanditiis nihil non porro. Quaerat nam assumenda voluptate.
Provident architecto voluptatem. Minima quo impedit maxime dolor commodi.",12,54,43,cms,10,0
23,32571873375,Veer Saran,Nehmat Dhingra,bakshijhanvi@example.com,8839866885,"04/89
Keer Marg, Khandwa 340279",DELHI,110054,KP,GCR,General,ATA,13,10,kg,5000,559,559,559,INR,862G6488A4K0PM2C,27883,Credit/debit card,"Neque eum dolorem fugiat. Voluptatum ipsum id itaque optio vero.
Quaerat necessitatibus neque esse. Perferendis eaque dolore.",76,1,47,cms,43,15-25°C
24,32178651287,Kaira Dhar,Zaina Chandran,lgoyal@example.org,4638622995,"94/708
Sarna Street
Kamarhati-130318",BHUBANESWAR,751022,Quick1,GCR,General,ATD,15,62,kg,4500,105,105,105,INR,SDHM6U48CHPZFO68,62602,Credit/debit card,"Illo alias veniam numquam unde ut beatae. Debitis excepturi non nesciunt necessitatibus.
Quae porro error a delectus similique. Porro aperiam voluptates possimus culpa.",64,10,29,cms,7,0
25,17841925744,Neelofar Bora,Eshani Char,ewali@example.org,7228874285,"36/39, Kohli Street, Thiruvananthapuram 999258",AURANGABAD,431005,KP,GCR,General,DTD,20,84,kg,3600,780,780,780,INR,80DULDM8YS000KD0,23366,Credit/debit card,Fuga sapiente temporibus quibusdam ad pariatur. Est perferendis non ex nulla dolor aperiam. Sit aliquam quisquam.,21,40,18,cms,39,2-8°C
26,16678641192,Rati Kade,Alisha Bhatnagar,varghesejhanvi@example.net,8336416297,"H.No. 20
Ratta
Tiruppur-328619",RAIPUR,492015,ACE1,GCR,General,DTA,27,448,kg,4500,1026,1026,1026,INR,K6HNHHAIY880AM68,93908,Credit,Incidunt adipisci atque dicta ratione voluptates. Consequatur neque vitae dignissimos nihil.,72,61,17,cms,38,0
27,37678913445,Eva Sem,Arhaan Tank,aradhyarout@example.net,9666351889,"H.No. 982, Desai Circle
Agartala-501108",KARAIKUDI,630106,Prudent,GCR,General,DTA,8,923,kg,2700,32,923,923,INR,220P020422GD008A,31852,Credit,"Quod possimus unde quasi inventore repellat ipsa. Maiores cupiditate occaecati aut consectetur vero culpa.
Nam natus in minus. Incidunt laboriosam odio aspernatur possimus praesentium.",75,50,83,cms,4,0
28,25181563976,Aarav Tella,Emir Dhar,jhanvi42@example.com,2646912399,"H.No. 589, Loke Path
Muzaffarnagar 559710",TIRUPATI,517505,Quick1,GCR,General,ATA,8,145,kg,6000,264,264,264,INR,Y2486VO44LBDS2W2,33706,Cash,Reiciendis quibusdam doloremque reiciendis facere corporis facere. Culpa delectus nobis at nostrum accusamus ullam quos. Officiis ut tenetur quo.,37,49,60,cms,33,0
